===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2023-06-01 14:50:38
count workspace : c:\Skillbox.Projs\pomodoro\react-ssr
total files : 188
total code lines : 24839
total comment lines : 2279
total blank lines : 2189

.eslintrc.js, code is 27, comment is 0, blank is 2.
src\shared\Modals\PostsModal\Card\TextContent\MetaData\index.tsx, code is 39, comment is 1, blank is 4.
src\shared\Modals\PostsModal\Card\TextContent\MetaData\metadata.css, code is 30, comment is 0, blank is 7.
src\shared\Modals\PostsModal\Card\TextContent\textcontent.css, code is 6, comment is 0, blank is 1.
src\shared\Modals\PostsModal\Card\TextContent\TextContent.tsx, code is 20, comment is 0, blank is 3.
src\shared\Modals\PostsModal\Card\TextContent\Title\index.tsx, code is 21, comment is 0, blank is 3.
src\shared\Modals\PostsModal\Card\TextContent\Title\title.css, code is 8, comment is 0, blank is 1.
src\shared\Modals\PostsModal\index.tsx, code is 41, comment is 0, blank is 7.
src\shared\Modals\PostsModal\postsmodal.css, code is 26, comment is 0, blank is 2.
src\shared\NoMatch\index.tsx, code is 11, comment is 0, blank is 1.
src\shared\NoMatch\nomatch.css, code is 5, comment is 0, blank is 0.
src\types\Comment.ts, code is 13, comment is 0, blank is 1.
src\types\commonTypes.ts, code is 26, comment is 0, blank is 10.
src\types\Post.ts, code is 26, comment is 0, blank is 5.
src\types\types.d.ts, code is 10, comment is 0, blank is 4.
src\utils\js\componentIdToDomId.ts, code is 4, comment is 0, blank is 2.
src\utils\js\dateDiffInHours.ts, code is 7, comment is 0, blank is 3.
src\utils\js\eventPreventDefault.ts, code is 5, comment is 0, blank is 2.
src\utils\js\eventStopPropagation.ts, code is 5, comment is 0, blank is 2.
src\utils\js\findIndexByKey.ts, code is 5, comment is 0, blank is 1.
src\utils\js\findItemByKey.ts, code is 5, comment is 0, blank is 1.
src\utils\js\generateComponentId.ts, code is 4, comment is 0, blank is 2.
src\utils\js\hoursPassedStr.ts, code is 17, comment is 0, blank is 3.
src\utils\js\prepareRedditImgLink.ts, code is 4, comment is 0, blank is 1.
src\utils\js\stringUnescape.ts, code is 13, comment is 0, blank is 3.
src\zustand.store\replyFormStore.ts, code is 14, comment is 0, blank is 4.
tsconfig.json, code is 54, comment is 0, blank is 7.
utests\example.test.ts, code is 6, comment is 0, blank is 1.
webpack.config.js, code is 6, comment is 0, blank is 1.
===============================================================================
